x,y,z
40.400000000000006,41.2,0.1
40.400000000000006,41.8,0.162
1.2000000000000002,11.6,0.0
20.8,26.8,8.71
1.2000000000000002,12.2,0.0
20.8,27.4,8.303
40.400000000000006,42.6,0.119
1.2000000000000002,13.0,0.0
20.8,28.200000000000003,8.121
40.400000000000006,43.400000000000006,0.143
20.8,28.8,8.207
1.2000000000000002,13.8,0.0
40.400000000000006,44.0,0.106
1.2000000000000002,14.4,0.0
20.8,29.6,8.178
40.400000000000006,44.8,0.108
40.400000000000006,45.400000000000006,0.086
1.2000000000000002,15.2,0.0
20.8,30.4,7.851
1.2000000000000002,15.8,0.0
20.8,31.0,7.532
40.400000000000006,46.2,0.0
1.2000000000000002,16.6,0.0
20.8,31.8,6.878
40.400000000000006,47.0,0.071
20.8,32.4,6.412
1.2000000000000002,17.400000000000002,0.0
40.400000000000006,47.6,0.075
1.2000000000000002,18.0,0.0
20.8,33.2,5.757
40.400000000000006,48.400000000000006,0.0
40.400000000000006,49.0,0.0
1.2000000000000002,18.8,0.0
20.8,34.0,5.107
1.2000000000000002,19.4,0.0
20.8,34.6,4.707
40.400000000000006,49.8,0.0
70.4,48.400000000000006,0.0
1.2000000000000002,20.200000000000003,0.0
20.8,35.4,4.195
20.8,36.0,3.777
1.2000000000000002,21.0,0.0
1.2000000000000002,21.6,0.0
20.8,36.8,3.05
1.2000000000000002,22.4,0.0
20.8,37.6,2.448
1.2000000000000002,23.0,0.0
20.8,38.2,2.05
1.2000000000000002,23.8,0.0
20.8,39.0,1.375
20.8,39.6,0.83
1.2000000000000002,24.6,0.0
1.2000000000000002,25.200000000000003,0.0
20.8,40.400000000000006,0.141
1.2000000000000002,26.0,0.0
20.8,41.2,0.0
20.8,41.8,0.127
1.2000000000000002,26.8,0.0
70.4,49.8,0.0
1.2000000000000002,27.4,0.0
20.8,42.6,0.0
1.2000000000000002,28.200000000000003,0.0
20.8,43.400000000000006,0.133
1.2000000000000002,28.8,0.0
20.8,44.0,0.128
1.2000000000000002,29.6,0.0
20.8,44.8,0.0
20.8,45.400000000000006,0.0
1.2000000000000002,30.4,0.0
